Título;Status;Descrição;Empreendimento;Etiqueta;Responsável;Fase;Tipo;Local;Prazo;Prioridade;Última alteração;Primeira alteração
6588-Nível;Ativa;-;Oscar Freire;Arquitetura, Estrutura;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Pavimento Tipo;-;SIMPLES;Editado por Poligonus Arquitetura 01-06-2022 16:55;Criado por Oscar Freire 02-05-2022 12:03
7895-Esquadria;Ativa;-;Oscar Freire;Arquitetura;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Pavimento Tipo;-;SIMPLES;Editado por Oscar Freire 11-05-2022 12:22;Criado por Oscar Freire 03-05-2022 07:39
7895-Esquadria;Ativa;-;Oscar Freire;Arquitetura;Poligonus Arquitetura;Construção virtual 01;Sugestão;Pavimento Tipo;-;NORMAL;Editado por Poligonus Arquitetura 01-06-2022 16:58;Criado por Oscar Freire 03-05-2022 07:40
9604-Shaft;Fechada;-;Oscar Freire;Arquitetura, Estrutura;Oscar Freire;Construção virtual 01;Sugestão;Pavimento Tipo;-;CRÍTICO;Fechado por Oscar Freire 06-05-2022 12:02;Editado por Oscar Freire 03-05-2022 08:02
7069-Pé direito;Ativa;-;Oscar Freire;Arquitetura, Estrutura;Poligonus Arquitetura;Construção virtual 01;Inconsistência Técnica;Pavimento Semienterrado;-;NORMAL;Editado por Oscar Freire 06-05-2022 12:32;Editado por Oscar Freire 03-05-2022 08:03
7895-Esquadria;Ativa;9873-Pilar;Oscar Freire;Arquitetura, Estrutura;Poligonus Arquitetura;Construção virtual 01;Conflito;Pavimento Tipo;-;CRÍTICO;Editado por Oscar Freire 06-05-2022 12:32;Editado por Oscar Freire 03-05-2022 08:27
7373-Detalhe construtivo;Ativa;-;Oscar Freire;Arquitetura;Poligonus Arquitetura;Construção virtual 01;Conflito;Pavimento Semienterrado;-;SIMPLES;Editado por Oscar Freire 06-05-2022 12:32;Editado por Oscar Freire 03-05-2022 09:29
4620-Muro;Ativa;-;Oscar Freire;Estrutura;Henrique Figueiroa;Construção virtual 01;Ausência;Casa de lixo e gás;-;SIMPLES;Editado por Oscar Freire 06-05-2022 12:32;Criado por Oscar Freire 03-05-2022 12:04
NORMA DE DESEMPENHO;Ativa;-;Oscar Freire;-;Oscar Freire;Construção virtual 01;Inconsistência Técnica;-;-;NORMAL;Criado por Oscar Freire 03-05-2022 13:01;Criado por Oscar Freire 03-05-2022 13:01
9003-Arquivo disponibilizaddo;Ativa;-;Oscar Freire;Arquitetura;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Geral;-;NORMAL;Editado por Poligonus Arquitetura 10-05-2022 17:33;Criado por Oscar Freire 04-05-2022 12:44
4043-Alvenaria;Ativa;-;Oscar Freire;Arquitetura;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Pavimento Tipo;-;SIMPLES;Editado por Poligonus Arquitetura 01-06-2022 16:50;Editado por Oscar Freire 04-05-2022 12:58
7895-Esquadria;Ativa;-;Oscar Freire;Arquitetura;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Geral;-;NORMAL;Editado por Oscar Freire 06-05-2022 12:32;Criado por Oscar Freire 04-05-2022 12:58
